	tfidf
testclasstemppropertylog	0.0
testclasstempreflectionlog	0.0
testget	0.0
testtest	0.0
testthisget	0.0
that	0.0
thread	0.0
threadact	0.0
threadcurr	0.0
threshold	0.0
time	0.0
thresholddebug	0.0
throw	0.0
throwabl	0.0
throwablen	0.0
throwablenon	0.0
throwablesget	0.0
throwableshort	0.0
thrown	0.0
tick	0.0
tiget	0.0
tild	0.0
untilnow	0.0
url	0.0
usag	0.0
xsuit	0.0
world	0.0
write	0.0
writechar	0.0
writecharitecharit	0.0
writecharto	0.0
writer	0.0
writerto	0.0
wrong	0.0
xclass	0.0
xml	0.0
xor	0.0
xyz	0.0
wonder	0.0
yclass	0.0
year	0.0
yearlog	0.0
yor	0.0
yyyi	0.0
yyyyw	0.0
yyyyww	0.0
zero	0.0
zip	0.0
zo	0.0
zone	0.0
word	0.0
witnessserializationsimplebin	0.0
user	0.0
warn	0.0
utc	0.0
ute	0.0
util	0.0
val	0.0
valid	0.0
valu	0.0
valueblah	0.0
valuesubstr	0.0
version	0.0
wa	0.0
wait	0.0
watch	0.0
witnessserializationndcbin	0.0
week	0.0
weekli	0.0
weeklog	0.0
welcom	0.0
window	0.0
wit	0.0
witnessdom	0.0
witnessserializationexceptionbin	0.0
witnessserializationinfobin	0.0
witnessserializationlocationbin	0.0
witnessserializationmdcbin	0.0
telnet	0.0
take	0.0
rb	0.0
tag	0.0
result	0.0
resultsubstr	0.0
rewrit	0.0
rfa	0.0
right	0.0
rinstanceof	0.0
roll	0.0
rollov	0.0
rolloverlog	0.0
rootcount	0.0
rootget	0.0
rooti	0.0
rule	0.0
ruless	0.0
run	0.0
runner	0.0
sec	0.0
secondaryget	0.0
send	0.0
sep	0.0
serial	0.0
serializableclass	0.0
server	0.0
serverclassget	0.0
seven	0.0
respons	0.0
resourc	0.0
resiz	0.0
rel	0.0
rc	0.0
rcget	0.0
rcvbuf	0.0
rcvbuflength	0.0
junit	0.0
read	0.0
reader	0.0
readss	0.0
reflect	0.0
reflectionxml	0.0
registri	0.0
remov	0.0
resetxml	0.0
render	0.0
rendererget	0.0
rendereri	0.0
renderershow	0.0
rep	0.0
repi	0.0
replength	0.0
repositori	0.0
request	0.0
requir	0.0
reset	0.0
sever	0.0
show	0.0
sibl	0.0
suffer	0.0
stringeventtim	0.0
stringi	0.0
stringifi	0.0
stringindex	0.0
stringnul	0.0
stringprintln	0.0
stringvalu	0.0
strnull	0.0
strsubstr	0.0
subst	0.0
substr	0.0
suffix	0.0
stri	0.0
suit	0.0
sun	0.0
swap	0.0
sx	0.0
syslog	0.0
syslogexampleorg	0.0
system	0.0
systemerr	0.0
systemget	0.0
tab	0.0
tabl	0.0
string	0.0
stress	0.0
simpl	0.0
ssubstr	0.0
sisubstringsiindex	0.0
size	0.0
skip	0.0
slash	0.0
socket	0.0
socketget	0.0
sor	0.0
sourc	0.0
specifi	0.0
src	0.0
ss	0.0
st	0.0
strequalsutc	0.0
stack	0.0
stamp	0.0
start	0.0
startget	0.0
state	0.0
stnext	0.0
str	0.0
strchar	0.0
stream	0.0
streamblock	0.0
streamfilenam	0.0
jxml	0.0
jsizej	0.0
jul	0.0
captur	0.0
carriag	0.0
caseaccept	0.0
casebas	0.0
caseclassget	0.0
casedeni	0.0
caseloc	0.0
casemdc	0.0
casesimpl	0.0
casetest	0.0
caseto	0.0
casettcc	0.0
casevar	0.0
categori	0.0
categoryclassget	0.0
categoryclassto	0.0
cati	0.0
catinam	0.0
catj	0.0
catjnamecatjget	0.0
cb	0.0
cbget	0.0
cbgeti	0.0
cbgetj	0.0
cbgetlimit	0.0
cblength	0.0
captureget	0.0
capac	0.0
bear	0.0
callerclassget	0.0
bf	0.0
bfget	0.0
bflength	0.0
big	0.0
blah	0.0
blank	0.0
block	0.0
blockabl	0.0
bogu	0.0
bound	0.0
br	0.0
brace	0.0
bracket	0.0
bsol	0.0
btab	0.0
buf	0.0
buffer	0.0
bufto	0.0
bundl	0.0
byte	0.0
cach	0.0
cacount	0.0
cal	0.0
calendar	0.0
caller	0.0
ccounter	0.0
cet	0.0
cget	0.0
cgetkey	0.0
configxml	0.0
connect	0.0
consol	0.0
constant	0.0
constructor	0.0
content	0.0
context	0.0
contexts	0.0
control	0.0
convers	0.0
convert	0.0
converterclassget	0.0
converterconvert	0.0
converterformat	0.0
converternul	0.0
converterss	0.0
cor	0.0
core	0.0
correct	0.0
count	0.0
counter	0.0
creat	0.0
creation	0.0
cst	0.0
ct	0.0
configur	0.0
config	0.0
comput	0.0
client	0.0
chain	0.0
char	0.0
charact	0.0
charslength	0.0
check	0.0
chicago	0.0
child	0.0
childget	0.0
classget	0.0
classsom	0.0
clear	0.0
clienttest	0.0
comparecomparecombin	0.0
clone	0.0
clonelevel	0.0
clonesyslog	0.0
code	0.0
codeev	0.0
colon	0.0
combin	0.0
combinatori	0.0
common	0.0
compar	0.0
comparecompar	0.0
behavior	0.0
bean	0.0
jthrowabl	0.0
19	0.0
20	0.0
200	0.0
2000	0.0
20000	0.0
2004	0.0
2005	0.0
21	0.0
22	0.0
23	0.0
237	0.0
24	0.0
245	0.0
30000	0.0
31	0.0
32	0.0
343	0.0
3491141966387921974	0.0
37	0.0
40000	0.0
41	0.0
415	0.0
42	0.0
423	0.0
50	0.0
5000	0.0
1970	0.0
18	0.0
basic	0.0
17	0.0
008	0.0
01	0.0
0123456789	0.0
016	0.0
017	0.0
023	0.0
03	0.0
04	0.0
05	0.0
07	0.0
10	0.0
100	0.0
1000	0.0
10000	0.0
1024	0.0
11	0.0
12	0.0
120	0.0
1270	0.0
13	0.0
14	0.0
1415	0.0
15	0.0
1514	0.0
16	0.0
50000	0.0
60	0.0
60000	0.0
63000	0.0
appenderlayout	0.0
appenderrequir	0.0
appenderxml	0.0
arg	0.0
argument	0.0
array	0.0
arrayxto	0.0
assign	0.0
ate	0.0
atef	0.0
atest	0.0
attempt	0.0
attribut	0.0
attributelevel	0.0
attributelogg	0.0
attributenam	0.0
attributethread	0.0
attributetimestamp	0.0
attributevalu	0.0
backup	0.0
bad	0.0
bar	0.0
base	0.0
basedtest	0.0
basetest	0.0
appenderget	0.0
appedend	0.0
alog	0.0
absolut	0.0
8601	0.0
87	0.0
88	0.0
90	0.0
905	0.0
984	0.0
ab	0.0
abbrev	0.0
abbrevdefault	0.0
abbrevi	0.0
abc	0.0
accept	0.0
align	0.0
acount	0.0
activ	0.0
actual	0.0
actuali	0.0
actuallength	0.0
actualto	0.0
add	0.0
addit	0.0
address	0.0
adot	0.0
ahellohihello	0.0
ctilevel	0.0
ctjcatstrctjlevel	0.0
current	0.0
ginstanceof	0.0
goe	0.0
got	0.0
greet	0.0
greeter	0.0
half	0.0
handler	0.0
handlerget	0.0
handlers	0.0
header	0.0
headersubstr	0.0
hello	0.0
helloi	0.0
hellonullnullnullnullnullnullnul	0.0
helper	0.0
hi	0.0
hierarchi	0.0
hlog	0.0
hmm	0.0
hmmss	0.0
hola	0.0
host	0.0
hour	0.0
hourlog	0.0
hub	0.0
ignor	0.0
gmt	0.0
get	0.0
custom	0.0
gequalsnul	0.0
filternew	0.0
final	0.0
finish	0.0
finstanceof	0.0
first	0.0
fix	0.0
fo	0.0
fobar	0.0
folk	0.0
follow	0.0
foo	0.0
foobar	0.0
foomsg	0.0
footer	0.0
footersubstr	0.0
forc	0.0
format	0.0
formatformatjul	0.0
formatformatplu	0.0
formatformatv	0.0
formatnew	0.0
found	0.0
four	0.0
full	0.0
gequal	0.0
illeg	0.0
imez	0.0
index	0.0
inet	0.0
invok	0.0
ior	0.0
isiz	0.0
isol	0.0
iter	0.0
iternext	0.0
ive	0.0
jar	0.0
java	0.0
javahom	0.0
jconfig	0.0
jconfigur	0.0
jdata	0.0
jdebug	0.0
jdefault	0.0
jevent	0.0
jhelper	0.0
jmessag	0.0
jnet	0.0
jpattern	0.0
jproperti	0.0
jreset	0.0
jroot	0.0
000	0.0
jspi	0.0
intto	0.0
integererror	0.0
integerclass	0.0
inputget	0.0
info	0.0
infofield	0.0
infoget	0.0
inform	0.0
infoto	0.0
inherit	0.0
init	0.0
initi	0.0
input	0.0
inputfallback	0.0
inputfilt	0.0
inputhierarchi	0.0
integ	0.0
inputpattern	0.0
inputpatternenhanc	0.0
inputxml	0.0
inputxmlcategoryfactori	0.0
inputxmlcustom	0.0
inputxmlfallback	0.0
inputxmlloggerfactori	0.0
inputxmlsmtp	0.0
inputxmltest	0.0
inputxmlthrow	0.0
instanc	0.0
filtercfnew	0.0
filtercf	0.0
filter	0.0
empti	0.0
ds	0.0
dump	0.0
dwitnesscustom	0.0
dwitnessfallback	0.0
dwitnesspattern	0.0
dwitnesspatternenhanc	0.0
dwitnesssimpl	0.0
dwitnesssocket	0.0
dwitnessttcc	0.0
dwitnessxml	0.0
ec	0.0
ecd	0.0
ef	0.0
effect	0.0
eget	0.0
eh	0.0
eha	0.0
eilimitj	0.0
einstanceof	0.0
eip	0.0
ek	0.0
elat	0.0
element	0.0
elementget	0.0
elementnod	0.0
drfacomput	0.0
drfa	0.0
dr	0.0
delay	0.0
cyclic	0.0
daemon	0.0
daili	0.0
date	0.0
datecget	0.0
datecompar	0.0
dateget	0.0
day	0.0
daylog	0.0
dc	0.0
debug	0.0
deni	0.0
dotless	0.0
deriv	0.0
deseri	0.0
df	0.0
differ	0.0
directori	0.0
disabl	0.0
discard	0.0
dlog	0.0
docget	0.0
document	0.0
dot	0.0
embed	0.0
enabl	0.0
fill	0.0
enhanc	0.0
facilitybogu	0.0
facilitynamesi	0.0
facilitynul	0.0
factori	0.0
fail	0.0
fallback	0.0
fals	0.0
fast	0.0
fatal	0.0
fbar	0.0
fclass	0.0
fclassget	0.0
feed	0.0
field	0.0
fieldget	0.0
fieldi	0.0
fieldssiz	0.0
file	0.0
filedelet	0.0
fileexist	0.0
filefilenameexist	0.0
filelength	0.0
filenamewitnessdrfa	0.0
fileoutput	0.0
fileoutputnewdirtemplogexist	0.0
facil	0.0
explosionn	0.0
expectedi	0.0
eto	0.0
enter	0.0
entri	0.0
entrylog	0.0
enumerationha	0.0
eoffsetj	0.0
ep	0.0
epoch	0.0
equival	0.0
erfa	0.0
error	0.0
escap	0.0
evalu	0.0
expect	0.0
evaluatorinstanceof	0.0
even	0.0
event	0.0
eventfqn	0.0
eventget	0.0
eventlevel	0.0
ex	0.0
examplefoobar	0.0
except	0.0
exist	0.0
exit	0.0
zoneget	0.0
